uploads,subscribers,video_views,social_blade_rank,subscriber_rank,video_views_rank,country_rank,channel_type_rank,subscribers_last_30_days,video_views_last_30_days,percentage_subscribed_last_30_days,percentage_video_views_last_30_days,average_views_per_video,average_views_per_subscriber,channel_age,average_views_per_day
934.0,10200.0,6537737.0,708409.0,7490.0,1111571.0,24.0,,200.0,102513.0,0.0196078431372549,0.015680196373760523,6999.718415417559,640.9546078431373,,
550.0,8910.0,4114188.0,723229.0,7798.0,1516450.0,29.0,3127.0,120.0,88556.0,0.013468013468013467,0.021524538985578684,7480.341818181818,461.74949494949493,,
42.0,15500.0,10628776.0,736806.0,5987.0,783817.0,17.0,3103.0,100.0,69294.0,0.0064516129032258064,0.0065194712918966394,253066.09523809524,685.7274838709677,,
156.0,6160.0,6489599.0,738384.0,8952.0,1116613.0,42.0,2975.0,70.0,73705.0,0.011363636363636364,0.011357404363505358,41599.993589743586,1053.5063311688311,,
48.0,9070.0,5988364.0,744210.0,7753.0,1180156.0,27.0,3461.0,100.0,67429.0,0.011025358324145534,0.011260003566917441,124757.58333333333,660.2385887541345,,
161.0,2520.0,2407814.0,743953.0,11785.0,2089339.0,78.0,4188.0,80.0,68452.0,0.031746031746031744,0.02842910623495004,14955.366459627328,955.4817460317461,,
192.0,4370.0,2697972.0,748782.0,10140.0,1960865.0,57.0,3770.0,110.0,65622.0,0.02517162471395881,0.02432271350481028,14051.9375,617.3848970251717,,
1576.0,5880.0,5856178.0,751558.0,9102.0,1198345.0,43.0,3520.0,60.0,58961.0,0.01020408163265306,0.010068170742077854,3715.8489847715737,995.9486394557823,,
51.0,6950.0,3874882.0,753298.0,8552.0,1574854.0,36.0,3028.0,150.0,60691.0,0.02158273381294964,0.015662670501966253,75978.07843137255,557.5369784172661,,
1219.0,3760.0,11353647.0,759545.0,10622.0,746111.0,64.0,4436.0,10.0,50493.0,0.0026595744680851063,0.004447293455574231,9313.902378999179,3019.5869680851065,,
70.0,6960.0,8065898.0,758781.0,8540.0,957781.0,35.0,3375.0,50.0,52755.0,0.007183908045977011,0.006540499272368681,115227.11428571428,1158.8933908045976,,
368.0,24200.0,6381083.0,767661.0,4460.0,1129547.0,7.0,2202.0,100.0,46237.0,0.004132231404958678,0.007245948689274219,17339.89945652174,263.68111570247936,,
19.0,18100.0,5014685.0,771762.0,5419.0,1330298.0,12.0,2753.0,100.0,39461.0,0.0055248618784530384,0.007869088487113348,263930.7894736842,277.05441988950275,,
111.0,4640.0,1379548.0,769604.0,9940.0,2723370.0,53.0,3723.0,140.0,45249.0,0.03017241379310345,0.03279987358178186,12428.36036036036,297.3163793103448,,
104.0,6180.0,5468101.0,777739.0,8940.0,1255335.0,41.0,3477.0,30.0,35590.0,0.0048543689320388345,0.006508658124639614,52577.894230769234,884.8059870550162,,
35.0,4500.0,4992856.0,783267.0,10025.0,1333857.0,55.0,4316.0,30.0,29124.0,0.006666666666666667,0.005833134382405581,142653.0285714286,1109.5235555555555,,
23.0,4550.0,2193259.0,774502.0,10039.0,2197249.0,56.0,3744.0,250.0,46892.0,0.054945054945054944,0.02138005588943212,95359.08695652174,482.03494505494507,,
26.0,2190.0,728511.0,784337.0,12097.0,3306160.0,86.0,4275.0,40.0,30313.0,0.0182648401826484,0.041609529574707864,28019.653846153848,332.65342465753423,,
161.0,12900.0,1352659.0,787319.0,6652.0,2741140.0,22.0,,100.0,24846.0,0.007751937984496124,0.018368265763950856,8401.608695652174,104.85728682170543,,
73.0,746.0,706994.0,789143.0,13545.0,3326824.0,172.0,4114.0,33.0,24533.0,0.04423592493297587,0.034700435930149334,9684.849315068494,947.7131367292225,,
111.0,7940.0,10627775.0,789264.0,8121.0,783429.0,33.0,3244.0,,23371.0,,0.0021990491895057997,95745.72072072072,1338.5107052896726,,
12.0,5740.0,4280631.0,789143.0,9187.0,1475471.0,45.0,4121.0,60.0,24537.0,0.010452961672473868,0.005732098842437015,356719.25,745.7545296167248,,
280.0,3650.0,2581534.0,789196.0,10717.0,2006781.0,66.0,4820.0,30.0,24340.0,0.00821917808219178,0.00942850258799613,9219.764285714286,707.2695890410959,,
315.0,3210.0,1190286.0,789301.0,11130.0,2877068.0,69.0,4013.0,50.0,25007.0,0.01557632398753894,0.021009236435612953,3778.6857142857143,370.8056074766355,,
268.0,2240.0,939571.0,789840.0,12058.0,3102512.0,85.0,4266.0,60.0,25226.0,0.026785714285714284,0.026848423376200414,3505.8619402985073,419.4513392857143,,
12.0,5530.0,2445681.0,795218.0,9315.0,2068005.0,46.0,3566.0,50.0,18848.0,0.009041591320072333,0.007706646942099153,203806.75,442.25696202531645,,
50.0,4590.0,3857604.0,795051.0,9956.0,1577209.0,54.0,3725.0,20.0,19334.0,0.004357298474945534,0.005011919315720328,77152.08,840.4366013071896,,
219.0,3700.0,1444680.0,796798.0,10693.0,2669552.0,65.0,3906.0,70.0,18566.0,0.01891891891891892,0.012851288866738655,6596.712328767123,390.45405405405404,,
169.0,4920.0,1746269.0,797979.0,9708.0,2455358.0,48.0,2670.0,40.0,15140.0,0.008130081300813009,0.008669912825572692,10332.952662721893,354.9327235772358,,
27.0,1090.0,871922.0,797574.0,13195.0,3165250.0,126.0,4690.0,30.0,17229.0,0.027522935779816515,0.019759795027536865,32293.40740740741,799.9284403669725,,
178.0,7160.0,3168841.0,798420.0,8451.0,1781072.0,34.0,3807.0,10.0,15569.0,0.0013966480446927375,0.004913152789931713,17802.477528089887,442.5755586592179,,
128.0,5780.0,2099325.0,798932.0,9165.0,2242624.0,44.0,3535.0,40.0,13818.0,0.006920415224913495,0.0065821156800400125,16400.9765625,363.2050173010381,,
2053.0,4770.0,4614235.0,799190.0,9814.0,1404725.0,51.0,3694.0,10.0,14223.0,0.0020964360587002098,0.003082417778895093,2247.557233317097,967.3448637316562,,
270.0,828.0,404719.0,799565.0,13461.0,3626679.0,158.0,6763.0,29.0,14521.0,0.035024154589371984,0.0358792149614918,1498.9592592592592,488.79106280193236,,
4585.0,14400.0,13538094.0,799976.0,6254.0,653861.0,20.0,2256.0,100.0,14910.0,0.006944444444444444,0.001101336716970646,2952.6922573609595,940.1454166666666,,
158.0,808.0,1517363.0,802206.0,13478.0,2619291.0,160.0,3433.0,15.0,21452.0,0.018564356435643563,0.014137684917847608,9603.56329113924,1877.924504950495,,
558.0,19900.0,2554958.0,801274.0,5077.0,2017884.0,11.0,2360.0,100.0,13302.0,0.005025125628140704,0.0052063478147194595,4578.777777777777,128.38984924623117,,
21.0,1180.0,415936.0,802626.0,13105.0,3614750.0,120.0,6426.0,40.0,12407.0,0.03389830508474576,0.029829108324357593,19806.47619047619,352.48813559322036,,
268.0,17800.0,5672353.0,803108.0,5475.0,1223708.0,13.0,1691.0,,11115.0,,0.001959504283319462,21165.496268656716,318.6715168539326,,
26.0,673.0,337872.0,802965.0,13615.0,3692621.0,184.0,5065.0,19.0,11335.0,0.02823179791976226,0.03354820760524696,12995.076923076924,502.038632986627,,
60.0,3780.0,2166497.0,803398.0,10603.0,2206394.0,63.0,4760.0,10.0,10689.0,0.0026455026455026454,0.004933770967603463,36108.28333333333,573.1473544973545,,
19.0,2750.0,760296.0,803851.0,11554.0,3272040.0,74.0,4122.0,20.0,10647.0,0.007272727272727273,0.014003756431705545,40015.57894736842,276.4712727272727,,
169.0,1940.0,736148.0,805107.0,12345.0,3296011.0,95.0,4358.0,20.0,9437.0,0.010309278350515464,0.012819433048789103,4355.905325443787,379.4577319587629,,
113.0,3250.0,1863987.0,804095.0,11081.0,2379796.0,68.0,3997.0,30.0,10540.0,0.009230769230769232,0.005654545873978734,16495.46017699115,573.5344615384615,,
44.0,878.0,471442.0,804303.0,13412.0,3558976.0,153.0,4862.0,28.0,10100.0,0.03189066059225513,0.021423632175325915,10714.59090909091,536.9498861047836,,
7791.0,36000.0,4555687.0,802143.0,3436.0,1417393.0,5.0,1936.0,200.0,18016.0,0.005555555555555556,0.003954617602131139,584.7371325888846,126.54686111111111,,
55.0,13700.0,572279.0,806063.0,6432.0,3457585.0,21.0,3127.0,,7309.0,,0.0127717424542924,10405.072727272727,41.7721897810219,,
67.0,29100.0,4599451.0,805319.0,3908.0,1407550.0,6.0,2230.0,100.0,8997.0,0.003436426116838488,0.0019561030218606524,68648.5223880597,158.056735395189,,
13.0,35.0,9708.0,814892.0,14250.0,4018927.0,455.0,,,44.0,,0.004532344458178822,746.7692307692307,277.37142857142857,,
32.0,634.0,181233.0,804780.0,13657.0,3848989.0,199.0,5107.0,52.0,9855.0,0.08201892744479496,0.05437751402890202,5663.53125,285.8564668769716,,
